Timestamp,SC,TO,Action,Activity,Location,Duration
2024-11-14 10:32:42,SC010,TO_CO_TFTU000026,PICK,working,at QC006,60
2024-11-14 10:32:47,SC006,TO_CO_TFTU000010,DROP,arriving,at WS015.01,133
2024-11-14 10:32:47,SC006,TO_CO_TFTU000010,DROP,working,at WS015.01,60
2024-11-14 10:32:58,SC020,TO_CO_TFTU000034,DROP,arriving,at WS002.01,47
2024-11-14 10:32:58,SC020,TO_CO_TFTU000034,DROP,working,at WS002.01,60
2024-11-14 10:33:00,SC012,TO_CO_TFTU000024,DROP,arriving,at WS007.01,61
2024-11-14 10:33:00,SC012,TO_CO_TFTU000024,DROP,working,at WS007.01,60
2024-11-14 10:33:01,SC003,TO_CO_TFTU000032,PICK,finished,at QC005,0
2024-11-14 10:33:01,SC007,TO_CO_TFTU000013,DROP,finished,at WS012.01,0
2024-11-14 10:33:01,SC003,TO_CO_TFTU000032,DROP,driving,to YARD001.25,38
2024-11-14 10:33:01,SC007,TO_CO_TFTU000071,PICK,driving,to QC005,106
2024-11-14 10:33:01,SC019,TO_CO_TFTU000056,PICK,arriving,at QC004,101
2024-11-14 10:33:01,SC011,TO_CO_TFTU000052,PICK,waited,at QC005,21
2024-11-14 10:33:01,SC011,TO_CO_TFTU000052,PICK,working,at QC005,60
2024-11-14 10:33:01,SC019,TO_CO_TFTU000056,PICK,working,at QC004,60
2024-11-14 10:33:03,SC014,TO_CO_TFTU000038,DROP,arriving,at WS004.01,88
2024-11-14 10:33:03,SC014,TO_CO_TFTU000038,DROP,working,at WS004.01,60
2024-11-14 10:33:08,SC001,TO_CO_TFTU000018,DROP,arriving,at WS012.01,119
2024-11-14 10:33:08,SC001,TO_CO_TFTU000018,DROP,working,at WS012.01,60
2024-11-14 10:33:10,SC018,TO_CO_TFTU000009,DROP,finished,at WS016.01,0
2024-11-14 10:33:10,SC018,TO_CO_TFTU000090,PICK,driving,to QC006,160
2024-11-14 10:33:10,SC013,TO_CO_TFTU000046,DROP,arriving,at YARD001.36,33
2024-11-14 10:33:10,SC013,TO_CO_TFTU000046,DROP,working,at YARD001.36,60
2024-11-14 10:33:17,SC009,TO_CO_TFTU000014,DROP,finished,at WS015.01,0
2024-11-14 10:33:17,SC009,TO_CO_TFTU000036,PICK,driving,to QC005,133
2024-11-14 10:33:23,SC004,TO_CO_TFTU000047,DROP,arriving,at WS003.01,43
2024-11-14 10:33:23,SC004,TO_CO_TFTU000047,DROP,working,at WS003.01,60
2024-11-14 10:33:28,SC005,TO_CO_TFTU000027,PICK,finished,at QC006,0
2024-11-14 10:33:28,SC005,TO_CO_TFTU000027,DROP,driving,to WS007.01,79
2024-11-14 10:33:33,SC002,TO_CO_TFTU000023,DROP,arriving,at WS015.01,146
2024-11-14 10:33:33,SC002,TO_CO_TFTU000023,DROP,working,at WS015.01,60
2024-11-14 10:33:38,SC017,TO_CO_TFTU000029,PICK,finished,at RAIL001.76,0
2024-11-14 10:33:38,SC017,TO_CO_TFTU000029,DROP,driving,to WS007.01,79
2024-11-14 10:33:39,SC003,TO_CO_TFTU000032,DROP,arriving,at YARD001.25,38
2024-11-14 10:33:39,SC003,TO_CO_TFTU000032,DROP,working,at YARD001.25,60
2024-11-14 10:33:41,SC015,TO_CO_TFTU000051,PICK,finished,at QC005,0
2024-11-14 10:33:41,SC015,TO_CO_TFTU000051,DROP,driving,to WS003.01,43
2024-11-14 10:33:42,SC010,TO_CO_TFTU000026,PICK,finished,at QC006,0
2024-11-14 10:33:42,SC010,TO_CO_TFTU000026,DROP,driving,to YARD001.54,11
2024-11-14 10:33:47,SC006,TO_CO_TFTU000010,DROP,finished,at WS015.01,0
2024-11-14 10:33:47,SC006,TO_CO_TFTU000082,PICK,driving,to QC005,133
2024-11-14 10:33:53,SC010,TO_CO_TFTU000026,DROP,arriving,at YARD001.54,11
2024-11-14 10:33:54,SC010,TO_CO_TFTU000026,DROP,working,at YARD001.54,61
2024-11-14 10:33:58,SC020,TO_CO_TFTU000034,DROP,finished,at WS002.01,0
2024-11-14 10:33:58,SC020,TO_CO_TFTU000066,PICK,driving,to QC004,29
2024-11-14 10:34:00,SC012,TO_CO_TFTU000024,DROP,finished,at WS007.01,0
2024-11-14 10:34:00,SC012,TO_CO_TFTU000074,PICK,driving,to QC005,61
2024-11-14 10:34:01,SC011,TO_CO_TFTU000052,PICK,finished,at QC005,0
2024-11-14 10:34:01,SC019,TO_CO_TFTU000056,PICK,finished,at QC004,0
2024-11-14 10:34:01,SC011,TO_CO_TFTU000052,DROP,driving,to YARD001.46,15
2024-11-14 10:34:01,SC019,TO_CO_TFTU000056,DROP,driving,to WS003.01,38
2024-11-14 10:34:03,SC014,TO_CO_TFTU000038,DROP,finished,at WS004.01,0
2024-11-14 10:34:03,SC014,TO_CO_TFTU000053,PICK,driving,to QC006,70
2024-11-14 10:34:08,SC001,TO_CO_TFTU000018,DROP,finished,at WS012.01,0
2024-11-14 10:34:08,SC001,TO_CO_TFTU000068,PICK,driving,to QC005,106
2024-11-14 10:34:10,SC013,TO_CO_TFTU000046,DROP,finished,at YARD001.36,0
2024-11-14 10:34:10,SC013,TO_CO_TFTU000059,PICK,driving,to QC006,36
2024-11-14 10:34:16,SC011,TO_CO_TFTU000052,DROP,arriving,at YARD001.46,15
2024-11-14 10:34:16,SC011,TO_CO_TFTU000052,DROP,working,at YARD001.46,60
2024-11-14 10:34:23,SC004,TO_CO_TFTU000047,DROP,finished,at WS003.01,0
2024-11-14 10:34:23,SC004,TO_CO_TFTU000072,PICK,driving,to QC005,43
2024-11-14 10:34:23,SC015,TO_CO_TFTU000051,DROP,working,at WS003.01,60
2024-11-14 10:34:24,SC015,TO_CO_TFTU000051,DROP,arriving,at WS003.01,43
2024-11-14 10:34:27,SC020,TO_CO_TFTU000066,PICK,arriving,at QC004,29
2024-11-14 10:34:27,SC020,TO_CO_TFTU000066,PICK,working,at QC004,60
2024-11-14 10:34:33,SC002,TO_CO_TFTU000023,DROP,finished,at WS015.01,0
2024-11-14 10:34:33,SC002,TO_CO_TFTU000085,PICK,driving,to RAIL001.65,143
2024-11-14 10:34:39,SC003,TO_CO_TFTU000032,DROP,finished,at YARD001.25,0
2024-11-14 10:34:39,SC003,TO_CO_TFTU000045,PICK,driving,to QC003,13
2024-11-14 10:34:39,SC019,TO_CO_TFTU000056,DROP,arriving,at WS003.01,38
2024-11-14 10:34:39,SC019,TO_CO_TFTU000056,DROP,working,at WS003.01,60
2024-11-14 10:34:40,SC008,TO_CO_TFTU000063,PICK,arriving,at QC003,128
2024-11-14 10:34:40,SC008,TO_CO_TFTU000063,PICK,working,at QC003,60
2024-11-14 10:34:42,SC016,TO_CO_TFTU000033,PICK,arriving,at RAIL001.81,134
2024-11-14 10:34:43,SC016,TO_CO_TFTU000033,PICK,working,at RAIL001.81,61
2024-11-14 10:34:46,SC013,TO_CO_TFTU000059,PICK,arriving,at QC006,36
2024-11-14 10:34:47,SC007,TO_CO_TFTU000071,PICK,arriving,at QC005,106
2024-11-14 10:34:47,SC005,TO_CO_TFTU000027,DROP,arriving,at WS007.01,79
2024-11-14 10:34:47,SC013,TO_CO_TFTU000059,PICK,working,at QC006,61
2024-11-14 10:34:47,SC007,TO_CO_TFTU000071,PICK,working,at QC005,60
2024-11-14 10:34:47,SC005,TO_CO_TFTU000027,DROP,working,at WS007.01,60
2024-11-14 10:34:52,SC003,TO_CO_TFTU000045,PICK,arriving,at QC003,13
2024-11-14 10:34:52,SC003,TO_CO_TFTU000045,PICK,working,at QC003,60
2024-11-14 10:34:54,SC010,TO_CO_TFTU000026,DROP,finished,at YARD001.54,0
2024-11-14 10:34:54,SC010,TO_CO_TFTU000037,PICK,driving,to QC006,11
2024-11-14 10:34:57,SC017,TO_CO_TFTU000029,DROP,arriving,at WS007.01,79
2024-11-14 10:34:57,SC017,TO_CO_TFTU000029,DROP,working,at WS007.01,60
2024-11-14 10:35:01,SC012,TO_CO_TFTU000074,PICK,arriving,at QC005,61
2024-11-14 10:35:01,SC012,TO_CO_TFTU000074,PICK,working,at QC005,60
2024-11-14 10:35:05,SC010,TO_CO_TFTU000037,PICK,arriving,at QC006,11
2024-11-14 10:35:06,SC004,TO_CO_TFTU000072,PICK,arriving,at QC005,43
2024-11-14 10:35:06,SC010,TO_CO_TFTU000037,PICK,working,at QC006,61
2024-11-14 10:35:13,SC014,TO_CO_TFTU000053,PICK,arriving,at QC006,70
2024-11-14 10:35:16,SC011,TO_CO_TFTU000052,DROP,finished,at YARD001.46,0
2024-11-14 10:35:16,SC011,TO_CO_TFTU000069,PICK,driving,to QC006,18
2024-11-14 10:35:23,SC015,TO_CO_TFTU000051,DROP,finished,at WS003.01,0
2024-11-14 10:35:23,SC015,TO_CO_TFTU000067,PICK,driving,to QC005,43
2024-11-14 10:35:27,SC020,TO_CO_TFTU000066,PICK,finished,at QC004,0
2024-11-14 10:35:27,SC020,TO_CO_TFTU000066,DROP,driving,to YARD001.31,9
2024-11-14 10:35:30,SC009,TO_CO_TFTU000036,PICK,arriving,at QC005,133
2024-11-14 10:35:34,SC011,TO_CO_TFTU000069,PICK,arriving,at QC006,18
2024-11-14 10:35:36,SC020,TO_CO_TFTU000066,DROP,arriving,at YARD001.31,9
