SC,TO,Action,Location,timestamp_start,timestamp_end,duration_visit
SC019,TO_CO_TFTU000123,PICK,at QC004,2024-11-14 10:42:53,2024-11-14 10:43:53,0 days 00:01:00
SC006,TO_CO_TFTU000081,PICK,at QC001,2024-11-14 10:42:53,2024-11-14 10:43:53,0 days 00:01:00
SC010,TO_CO_TFTU000102,PICK,at QC006,2024-11-14 10:42:53,2024-11-14 10:43:54,0 days 00:01:01
SC013,TO_CO_TFTU000122,PICK,at QC003,2024-11-14 10:43:05,2024-11-14 10:44:24,0 days 00:01:19
SC015,TO_CO_TFTU000127,PICK,at QC006,2024-11-14 10:43:23,2024-11-14 10:44:24,0 days 00:01:01
SC009,TO_CO_TFTU000099,DROP,at YARD001.05,2024-11-14 10:43:32,2024-11-14 10:44:31,0 days 00:00:59
SC011,TO_CO_TFTU000030,PICK,at QC003,2024-11-14 10:43:37,2024-11-14 10:44:54,0 days 00:01:17
SC002,TO_CO_TFTU000120,DROP,at YARD001.36,2024-11-14 10:43:40,2024-11-14 10:44:41,0 days 00:01:01
SC007,TO_CO_TFTU000114,DROP,at YARD001.20,2024-11-14 10:43:42,2024-11-14 10:44:43,0 days 00:01:01
SC005,TO_CO_TFTU000126,PICK,at QC005,2024-11-14 10:43:45,2024-11-14 10:45:22,0 days 00:01:37
SC001,TO_CO_TFTU000057,PICK,at QC005,2024-11-14 10:43:55,2024-11-14 10:45:52,0 days 00:01:57
SC003,TO_CO_TFTU000043,PICK,at QC006,2024-11-14 10:44:11,2024-11-14 10:45:11,0 days 00:01:00
SC016,TO_CO_TFTU000097,DROP,at YARD001.62,2024-11-14 10:44:13,2024-11-14 10:45:13,0 days 00:01:00
SC017,TO_CO_TFTU000105,DROP,at WS010.01,2024-11-14 10:44:19,2024-11-14 10:45:18,0 days 00:00:59
SC018,TO_CO_TFTU000098,DROP,at WS004.01,2024-11-14 10:44:29,2024-11-14 10:45:29,0 days 00:01:00
SC014,TO_CO_TFTU000121,DROP,at WS001.01,2024-11-14 10:44:32,2024-11-14 10:45:32,0 days 00:01:00
SC019,TO_CO_TFTU000123,DROP,at WS004.01,2024-11-14 10:44:40,2024-11-14 10:45:40,0 days 00:01:00
SC020,TO_CO_TFTU000125,DROP,at WS001.01,2024-11-14 10:44:47,2024-11-14 10:45:46,0 days 00:00:59
SC007,TO_CO_TFTU000128,PICK,at QC003,2024-11-14 10:44:54,2024-11-14 10:45:55,0 days 00:01:01
SC009,TO_CO_TFTU000094,PICK,at RAIL001.01,2024-11-14 10:44:59,2024-11-14 10:46:00,0 days 00:01:01
SC002,TO_CO_TFTU000117,PICK,at QC005,2024-11-14 10:44:59,2024-11-14 10:46:23,0 days 00:01:24
SC012,TO_CO_TFTU000040,DROP,at WS012.01,2024-11-14 10:45:07,2024-11-14 10:46:07,0 days 00:01:00
SC015,TO_CO_TFTU000127,DROP,at YARD001.29,2024-11-14 10:45:13,2024-11-14 10:46:14,0 days 00:01:01
SC006,TO_CO_TFTU000081,DROP,at WS004.01,2024-11-14 10:45:16,2024-11-14 10:46:29,0 days 00:01:13
SC008,TO_CO_TFTU000087,DROP,at WS010.01,2024-11-14 10:45:19,2024-11-14 10:46:19,0 days 00:01:00
SC010,TO_CO_TFTU000102,DROP,at WS008.01,2024-11-14 10:45:22,2024-11-14 10:46:22,0 days 00:01:00
SC004,TO_CO_TFTU000116,DROP,at WS002.01,2024-11-14 10:45:25,2024-11-14 10:46:25,0 days 00:01:00
SC013,TO_CO_TFTU000122,DROP,at WS004.01,2024-11-14 10:45:29,2024-11-14 10:46:40,0 days 00:01:11
SC016,TO_CO_TFTU000130,PICK,at QC006,2024-11-14 10:45:39,2024-11-14 10:46:39,0 days 00:01:00
SC005,TO_CO_TFTU000126,DROP,at YARD001.27,2024-11-14 10:45:57,2024-11-14 10:46:57,0 days 00:01:00
SC014,TO_CO_TFTU000133,PICK,at QC005,2024-11-14 10:45:57,2024-11-14 10:46:56,0 days 00:00:59
SC007,TO_CO_TFTU000128,DROP,at YARD001.14,2024-11-14 10:46:17,2024-11-14 10:47:17,0 days 00:01:00
SC020,TO_CO_TFTU000137,PICK,at QC003,2024-11-14 10:46:24,2024-11-14 10:47:24,0 days 00:01:00
SC019,TO_CO_TFTU000106,PICK,at QC005,2024-11-14 10:46:32,2024-11-14 10:47:32,0 days 00:01:00
SC015,TO_CO_TFTU000138,PICK,at QC003,2024-11-14 10:46:34,2024-11-14 10:47:35,0 days 00:01:01
SC018,TO_CO_TFTU000129,PICK,at QC006,2024-11-14 10:46:39,2024-11-14 10:47:39,0 days 00:01:00
SC017,TO_CO_TFTU000015,PICK,at QC005,2024-11-14 10:46:46,2024-11-14 10:47:57,0 days 00:01:11
SC011,TO_CO_TFTU000030,DROP,at WS012.01,2024-11-14 10:46:53,2024-11-14 10:47:53,0 days 00:01:00
SC003,TO_CO_TFTU000043,DROP,at WS010.01,2024-11-14 10:46:57,2024-11-14 10:47:57,0 days 00:01:00
SC002,TO_CO_TFTU000117,DROP,at WS003.01,2024-11-14 10:47:06,2024-11-14 10:48:05,0 days 00:00:59
SC014,TO_CO_TFTU000133,DROP,at YARD001.36,2024-11-14 10:47:14,2024-11-14 10:48:15,0 days 00:01:01
SC005,TO_CO_TFTU000140,PICK,at QC003,2024-11-14 10:47:14,2024-11-14 10:48:24,0 days 00:01:10
SC004,TO_CO_TFTU000142,PICK,at QC006,2024-11-14 10:47:17,2024-11-14 10:48:17,0 days 00:01:00
SC009,TO_CO_TFTU000094,DROP,at WS003.01,2024-11-14 10:47:28,2024-11-14 10:48:28,0 days 00:01:00
SC008,TO_CO_TFTU000110,PICK,at RAIL001.109,2024-11-14 10:47:35,2024-11-14 10:48:35,0 days 00:01:00
